epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
146,322.142,0.89108,0.43496,0.93413,0.78187,0.69687,0.77478,0.41919,1.67687,1.01448,1.29445,0.000470511,0.000470511,0.000470511
147,323.802,0.86144,0.4256,0.92827,0.74895,0.72181,0.77246,0.41497,1.69151,1.0265,1.30532,0.000462259,0.000462259,0.000462259
148,325.465,0.89636,0.44106,0.92655,0.7623,0.70493,0.7685,0.41481,1.69092,1.04569,1.30503,0.000454007,0.000454007,0.000454007
149,329.716,0.89283,0.43273,0.9179,0.76387,0.70648,0.77026,0.41781,1.68249,1.06521,1.29778,0.000445756,0.000445756,0.000445756
150,331.844,0.87957,0.43072,0.92649,0.7436,0.72118,0.77014,0.41881,1.67051,1.07696,1.2895,0.000437504,0.000437504,0.000437504
151,333.589,0.85595,0.42756,0.92221,0.73499,0.74069,0.7722,0.42276,1.66846,1.06817,1.28832,0.000429253,0.000429253,0.000429253
152,335.825,0.87486,0.43443,0.9247,0.73915,0.74394,0.77258,0.42374,1.66431,1.05439,1.28745,0.000421001,0.000421001,0.000421001
153,337.509,0.85279,0.42007,0.91975,0.73745,0.73872,0.77012,0.42322,1.66271,1.05369,1.28841,0.000412749,0.000412749,0.000412749
154,342.345,0.88986,0.43248,0.91586,0.74452,0.73613,0.77322,0.42404,1.6546,1.0539,1.28656,0.000404498,0.000404498,0.000404498
155,344.052,0.83475,0.40866,0.91999,0.76347,0.7139,0.77178,0.42308,1.65234,1.05905,1.28783,0.000396246,0.000396246,0.000396246
156,345.706,0.8654,0.42462,0.92027,0.75974,0.72928,0.77258,0.42253,1.65465,1.06025,1.29031,0.000387994,0.000387994,0.000387994
157,347.404,0.85415,0.42193,0.93113,0.7658,0.72597,0.77695,0.42412,1.65286,1.05498,1.28985,0.000379743,0.000379743,0.000379743
158,349.042,0.81479,0.40187,0.91093,0.76839,0.72081,0.77564,0.42575,1.66046,1.04675,1.29308,0.000371491,0.000371491,0.000371491
159,351.109,0.81885,0.41093,0.91378,0.75173,0.72868,0.77018,0.41962,1.66917,1.04923,1.29615,0.000363239,0.000363239,0.000363239
160,352.799,0.85692,0.42534,0.92662,0.74418,0.72756,0.76299,0.41801,1.67141,1.06152,1.29728,0.000354988,0.000354988,0.000354988
161,354.461,0.85623,0.40817,0.93284,0.74111,0.72209,0.75778,0.41482,1.67014,1.07773,1.29776,0.000346736,0.000346736,0.000346736
162,356.107,0.86887,0.41611,0.9223,0.73877,0.72045,0.75746,0.41541,1.66656,1.07622,1.29991,0.000338484,0.000338484,0.000338484
163,357.744,0.81514,0.40796,0.91616,0.74479,0.71591,0.75811,0.41627,1.66152,1.07538,1.30059,0.000330233,0.000330233,0.000330233
164,359.402,0.8357,0.41035,0.91253,0.77188,0.6904,0.75815,0.41489,1.66023,1.07842,1.29855,0.000321981,0.000321981,0.000321981
165,361.055,0.81459,0.40249,0.90859,0.77803,0.68369,0.75881,0.41616,1.6563,1.07947,1.29302,0.000313729,0.000313729,0.000313729
166,362.728,0.81766,0.41204,0.91436,0.78185,0.68084,0.75745,0.41572,1.66344,1.08601,1.29172,0.000305478,0.000305478,0.000305478
167,364.367,0.84318,0.42773,0.94199,0.77696,0.68075,0.75827,0.4123,1.67513,1.08252,1.2933,0.000297226,0.000297226,0.000297226
168,366.001,0.8019,0.39701,0.91117,0.77286,0.68468,0.75909,0.41191,1.68383,1.07979,1.29541,0.000288974,0.000288974,0.000288974
